îNåéì˙,éûçèÉRÅ[Éh,îÑÇËì¸éDó (kWh),îÉÇ¢ì¸éDó (kWh),ñÒíËëçó (kWh),ÉVÉXÉeÉÄÉvÉâÉCÉX(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåñk(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåãû(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜïî(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkó§(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXä÷êº(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXélçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXã„èB(â~/kWh),,ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøè„å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøâ∫å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøë¨ïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),ÉøämïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),,âÒîâ¬î\å¥âøëSçëíl(â~/kWh),âÒîâ¬î\å¥âøñkäCìπ(â~/kWh),âÒîâ¬î\å¥âøìåñk(â~/kWh),âÒîâ¬î\å¥âøìåãû(â~/kWh),âÒîâ¬î\å¥âøíÜïî(â~/kWh),âÒîâ¬î\å¥âøñkó§(â~/kWh),âÒîâ¬î\å¥âøä÷êº(â~/kWh),âÒîâ¬î\å¥âøíÜçë(â~/kWh),âÒîâ¬î\å¥âøélçë(â~/kWh),âÒîâ¬î\å¥âøã„èB(â~/kWh),,îÑÇËÉuÉçÉbÉNì¸éDëçó (kWh),îÑÇËÉuÉçÉbÉNñÒíËëçó (kWh),îÉÇ¢ÉuÉçÉbÉNì¸éDëçó (kWh),îÉÇ¢ÉuÉçÉbÉNñÒíËëçó (kWh),,FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjëSçëíl(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjñkäCìπ(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåñk(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåãû(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜïî(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjñkó§(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjä÷êº(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjélçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjã„èB(â~/kWh)
2021/04/15,32,24620800,20538200,18125900,5.63,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,0.01,,5.63,508.25,0.00,6.32,5.63,,5.63,5.97,5.95,5.95,5.95,5.95,5.95,5.95,5.95,0.01,,6910150,1838150,2090100,1670600,,5.63,5.92,5.95,5.95,5.96,5.93,5.95,5.95,5.95,0.01
2021/04/15,33,23230550,21147900,17801650,5.71,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,5.63,,5.72,508.30,0.00,7.41,6.32,,5.72,6.72,6.72,6.73,6.73,6.75,6.73,6.73,6.73,5.63,,6355400,1954150,2271550,1596100,,5.72,6.72,6.73,6.73,6.74,6.73,6.73,6.73,6.73,5.63
2021/04/15,34,21653800,21187100,17229700,7.50,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,5.63,,7.50,507.02,0.00,15.16,10.76,,7.50,7.73,7.73,7.73,7.73,7.74,7.73,7.69,7.73,5.64,,5844600,1983350,2167200,1515750,,7.50,7.70,7.73,7.72,7.73,7.73,7.73,7.73,7.73,5.63
2021/04/15,35,21002100,21426400,17078150,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,8.38,,9.46,507.16,0.00,10.47,10.47,,9.46,9.46,9.46,9.45,9.46,9.46,9.46,9.51,9.46,8.45,,5940400,2103900,2241700,1581750,,9.46,9.45,9.47,9.47,9.45,9.46,9.46,9.46,9.46,8.38
2021/04/15,36,20360500,21828950,16710850,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,,11.33,509.16,0.00,20.03,15.51,,11.33,11.31,11.30,11.30,11.32,11.31,11.31,11.57,11.31,11.32,,5914750,2321400,2348250,1595200,,11.33,11.23,11.40,11.35,11.31,11.31,11.31,11.31,11.33,11.31
2021/04/15,37,20386450,22299550,16926400,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,,12.02,508.67,0.00,15.01,13.81,,12.02,12.02,12.00,12.01,12.08,11.99,12.01,12.01,11.99,11.99,,5806300,2376100,2312750,1495700,,12.02,11.92,12.05,12.02,12.01,12.01,12.01,12.01,12.05,12.01
2021/04/15,38,20224000,23047400,16898800,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,,15.01,509.44,0.00,17.85,15.49,,15.01,15.10,14.99,14.98,15.13,14.99,14.99,15.00,15.00,15.01,,5853600,2528400,2325700,1505150,,15.01,14.98,15.09,14.95,15.00,15.00,14.99,15.23,15.01,15.00
2021/04/15,39,20413950,22877050,17016550,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,,11.08,510.48,0.00,15.06,13.03,,11.08,11.07,11.05,11.05,11.34,11.05,11.05,11.05,11.03,11.05,,6069900,2952850,2294200,1462150,,11.08,11.00,11.25,11.06,11.05,11.05,11.05,11.10,11.07,11.05
2021/04/15,40,20110400,22673500,16907500,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,10.51,509.09,0.00,13.00,12.01,,10.51,10.52,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,6302750,3105200,2179200,1375150,,10.51,10.49,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51
2021/04/15,41,19596550,22274650,16342550,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,,11.24,509.82,0.00,15.01,13.00,,11.24,11.26,11.25,11.24,11.24,11.24,11.24,11.24,11.22,11.24,,6400900,3151750,2014700,1281650,,11.24,11.22,11.24,11.25,11.24,11.24,11.24,11.24,11.25,11.24
2021/04/15,42,19765300,22363950,16552300,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,8.44,,10.88,508.63,0.00,12.51,12.16,,10.88,10.91,10.89,10.88,10.89,10.89,10.89,10.89,10.77,8.45,,6557850,3349700,2265450,1371900,,10.88,10.80,10.89,10.90,10.87,10.89,10.89,10.89,10.89,8.44
2021/04/15,43,19724450,22446300,16698800,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,,10.89,509.10,0.00,14.63,12.18,,10.89,10.91,10.88,10.88,10.89,10.89,10.89,10.89,10.83,10.89,,6503800,3482450,2470200,1438450,,10.89,10.90,10.89,10.88,10.86,10.89,10.89,10.89,10.89,10.89
2021/04/15,44,19585700,22347500,16773650,9.99,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,8.44,,9.99,509.09,0.00,12.18,11.91,,9.99,10.48,10.46,10.47,10.47,10.47,10.47,10.47,10.47,8.44,,6417850,3607100,2486600,1442850,,9.99,10.47,10.47,10.47,10.46,10.47,10.47,10.47,10.47,8.44
2021/04/15,45,18868000,21756000,16289550,9.99,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,8.44,,10.00,510.33,0.00,12.19,10.90,,10.00,10.49,10.47,10.47,10.47,10.47,10.47,10.47,10.47,8.44,,6078000,3505400,2362600,1416800,,10.00,10.46,10.47,10.47,10.47,10.47,10.47,10.47,10.47,8.44
2021/04/15,46,18760950,21340500,16324050,8.44,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.44,,8.44,509.82,0.00,10.02,8.44,,8.44,8.90,8.89,8.90,8.90,8.90,8.90,8.90,8.90,8.44,,5908850,3492350,2301600,1408350,,8.44,8.90,8.90,8.89,8.90,8.90,8.90,8.90,8.90,8.44
2021/04/15,47,18312200,20771550,16146950,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,,8.44,509.09,0.00,10.00,8.44,,8.44,8.46,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,,5545400,3401400,2160700,1300500,,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44
2021/04/15,48,17306500,19810800,15693500,7.45,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,,7.45,507.16,0.00,8.44,7.85,,7.45,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,,4973450,3400450,1664150,968950,,7.45,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42
2021/04/16,1,18620300,20408850,16203500,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,7.35,502.92,0.00,8.42,7.39,,7.35,7.35,7.13,7.37,7.37,7.37,7.36,7.37,7.37,7.37,,5557550,3184950,2138400,1462450,,7.35,7.37,7.37,7.30,7.37,7.37,7.37,7.37,7.37,7.37
2021/04/16,2,19675100,21354950,17248450,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,,6.74,503.54,0.00,6.76,6.60,,6.74,6.74,6.64,6.74,6.75,6.76,6.75,6.75,6.75,6.75,,5812100,3412600,3195450,2325050,,6.74,6.75,6.75,6.74,6.75,6.75,6.75,6.75,6.75,6.71
2021/04/16,3,19888100,21229550,17461150,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,,6.50,504.28,0.00,6.75,6.50,,6.50,6.49,6.50,6.50,6.50,6.53,6.50,6.50,6.50,6.50,,5965150,3565650,3442650,2466900,,6.50,6.50,6.50,6.50,6.51,6.50,6.50,6.50,6.50,6.49
2021/04/16,4,20070550,21238250,17385100,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,,6.50,504.28,0.00,6.75,6.36,,6.50,6.50,6.50,6.50,6.50,6.54,6.50,6.50,6.50,6.50,,6117400,3567900,3524650,2522400,,6.50,6.50,6.50,6.50,6.51,6.50,6.50,6.50,6.50,6.49
2021/04/16,5,20115750,21115000,17396400,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,,6.75,504.29,0.00,6.93,6.50,,6.75,6.74,6.73,6.75,6.75,6.77,6.75,6.75,6.75,6.75,,6319600,3620100,3674250,2670150,,6.75,6.75,6.75,6.74,6.75,6.75,6.75,6.75,6.75,6.75
2021/04/16,6,20334000,21186050,17464650,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,,7.25,503.59,0.00,7.25,6.80,,7.25,7.26,7.17,7.25,7.26,7.28,7.26,7.26,7.26,7.26,,6546350,3696850,3811150,2829900,,7.25,7.26,7.26,7.23,7.27,7.26,7.26,7.26,7.26,7.26
2021/04/16,7,20537900,21219150,17604450,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,7.37,504.28,0.00,7.37,7.37,,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,6687350,3773350,3856150,2904450,,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37
2021/04/16,8,20623450,21193400,17584050,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,7.37,504.28,0.00,7.37,7.37,,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,6718500,3799000,3837850,2934600,,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37
2021/04/16,9,20701500,21287900,17514150,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,504.28,0.00,8.57,8.57,,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,6849800,3798800,3797050,2895900,,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96
2021/04/16,10,20694250,21250850,17458400,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,504.28,0.00,9.21,9.21,,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,6926850,3798850,3707000,2820950,,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96
2021/04/16,11,20982550,21381650,17363450,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,504.34,0.00,10.00,9.68,,7.96,7.96,7.96,7.97,7.96,7.96,7.96,7.96,7.96,7.96,,7042400,3798900,3657000,2771900,,7.96,7.96,7.96,7.96,7.98,7.96,7.96,7.96,7.98,7.96
2021/04/16,12,21094900,21372550,17162500,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,506.23,0.00,7.96,8.57,,7.96,7.96,7.96,7.97,7.96,7.96,7.96,7.96,7.96,7.96,,7256300,3750300,3493900,2619650,,7.96,7.96,7.96,7.96,7.98,7.96,7.96,7.96,7.98,7.96
2021/04/16,13,20879750,21545400,17200050,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,,7.97,506.23,0.00,9.68,10.22,,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,,6871900,3678900,3335850,2445200,,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97
2021/04/16,14,21085600,21866550,17514400,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,,7.36,506.23,0.00,7.40,8.90,,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,,7032200,3620700,3222650,2324300,,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36
2021/04/16,15,21896150,22591900,17941650,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,,6.76,505.48,0.00,7.77,8.43,,6.76,6.77,6.71,6.76,6.77,6.77,6.77,6.75,6.77,6.77,,7540900,3629550,3172100,2274400,,6.76,6.77,6.77,6.74,6.78,6.77,6.77,6.77,6.77,6.77
2021/04/16,16,23086750,22997700,18302900,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,,6.76,505.48,0.00,6.92,7.39,,6.76,6.77,6.77,6.76,6.77,6.77,6.77,6.67,6.77,6.77,,8427150,3679950,3116400,2243000,,6.76,6.77,6.77,6.73,6.78,6.77,6.77,6.77,6.77,6.74
2021/04/16,17,24185400,23614350,19065650,6.51,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,,6.50,505.45,0.00,7.44,7.41,,6.50,6.41,6.41,6.40,6.41,6.41,6.41,6.35,6.41,6.41,,8771250,3706450,3258650,2284850,,6.50,6.41,6.41,6.38,6.42,6.41,6.41,6.41,6.41,6.40
2021/04/16,18,24911650,24344800,19489050,6.91,6.05,6.05,6.91,6.91,6.91,6.91,6.91,6.91,6.91,,6.89,504.76,0.00,8.41,7.83,,6.89,6.05,6.05,6.88,6.91,6.91,6.91,6.82,6.91,6.91,,9209450,3829800,3526900,2357300,,6.89,6.05,6.05,6.85,6.91,6.91,6.91,6.91,6.91,6.88
2021/04/16,19,25786500,24768400,19865450,7.37,5.62,5.62,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,7.36,505.54,0.00,12.48,9.49,,7.36,5.63,5.62,7.34,7.37,7.37,7.37,7.40,7.37,7.37,,9665800,3784700,3718150,2464650,,7.36,5.62,5.62,7.36,7.39,7.37,7.37,7.37,7.36,7.33
2021/04/16,20,26181750,24789950,20156300,6.36,4.76,4.76,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,6.37,507.03,0.00,7.98,7.46,,6.37,4.77,4.76,7.34,7.37,7.37,7.37,7.38,7.37,7.37,,9860200,3887100,3747050,2547850,,6.37,4.76,4.76,7.35,7.37,7.37,7.37,7.37,7.37,7.35
2021/04/16,21,26509550,24762100,20484500,6.26,4.96,4.96,6.36,6.36,6.36,6.36,6.36,6.36,6.36,,6.25,505.42,0.00,7.39,7.39,,6.25,4.96,4.96,6.34,6.36,6.36,6.36,6.28,6.36,6.36,,10060950,4070950,3801150,2625950,,6.25,4.96,4.96,6.31,6.37,6.36,6.36,6.36,6.36,6.34
2021/04/16,22,26679100,24821150,20541350,6.26,4.85,4.85,6.36,6.36,6.36,6.36,6.36,6.36,6.36,,6.25,504.64,0.00,6.90,7.36,,6.25,4.85,4.85,6.34,6.36,6.36,6.36,6.29,6.36,6.36,,10135050,4045050,3688350,2558950,,6.25,4.85,4.85,6.31,6.37,6.36,6.36,6.36,6.36,6.34
2021/04/16,23,26773150,24657000,20444400,5.85,4.93,4.93,6.34,6.34,6.34,6.34,6.34,6.34,6.34,,5.85,506.23,0.00,6.34,7.37,,5.85,4.93,4.93,6.32,6.34,6.34,6.34,6.26,6.34,6.34,,10342850,4056350,3539050,2382300,,5.85,4.93,4.93,6.30,6.35,6.34,6.34,6.34,6.34,6.32
2021/04/16,24,26898000,24749900,20343700,5.82,4.43,4.43,6.26,6.26,6.26,6.26,6.26,6.26,6.26,,5.82,506.23,0.00,6.91,7.37,,5.82,4.43,4.43,6.25,6.26,6.26,6.26,6.20,6.26,6.26,,10515350,4069350,3801600,2342300,,5.82,4.43,4.43,6.22,6.26,6.26,6.26,6.26,6.26,6.25
2021/04/16,25,26444950,24209950,20124300,5.63,4.19,4.19,5.81,5.81,5.81,5.81,5.81,5.81,5.81,,5.64,507.13,0.00,7.38,7.38,,5.64,4.20,4.19,5.82,5.81,5.81,5.81,5.82,5.81,5.81,,10146550,4078300,3882400,2311900,,5.64,4.19,4.19,5.82,5.83,5.81,5.81,5.81,5.82,5.81
2021/04/16,26,25357650,23681450,20033500,5.37,4.20,4.20,5.63,5.63,5.63,5.63,5.63,5.63,5.63,,5.38,507.76,0.00,7.80,7.42,,5.38,4.21,4.20,5.64,5.63,5.63,5.63,5.64,5.63,5.63,,9203700,4110450,3679700,2247350,,5.38,4.20,4.20,5.64,5.64,5.63,5.63,5.63,5.66,5.63
2021/04/16,27,24665000,23833000,19888050,5.81,4.43,5.17,6.32,6.32,6.32,6.32,6.32,6.32,6.32,,5.81,506.92,0.00,8.05,7.45,,5.81,4.43,5.17,6.31,6.32,6.32,6.32,6.29,6.32,6.32,,8703050,4050300,3306000,2095650,,5.81,4.43,5.17,6.31,6.33,6.32,6.32,6.32,6.32,6.29
2021/04/16,28,24061800,23508700,19705250,6.78,4.80,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,,6.77,506.31,0.00,10.49,10.43,,6.77,4.83,6.75,6.73,6.75,6.75,6.75,6.73,6.75,6.75,,8291650,4049900,2897500,2009000,,6.77,4.81,6.76,6.74,6.76,6.75,6.75,6.75,6.76,6.70
2021/04/16,29,23408650,23424850,19313700,6.93,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,,6.92,506.32,0.00,8.43,8.43,,6.92,6.91,6.91,6.90,6.90,6.91,6.91,6.84,6.91,6.91,,7960150,4031900,2829650,1926800,,6.92,6.90,6.91,6.89,6.91,6.91,6.91,6.91,6.91,6.87
2021/04/16,30,22780000,23526000,18946000,7.37,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,,7.36,510.61,0.00,8.43,7.71,,7.36,6.91,6.91,6.90,6.91,6.91,6.91,6.90,6.91,6.91,,7783450,4008700,2865350,1953250,,7.36,6.89,6.91,6.91,6.91,6.91,6.91,6.91,6.90,6.88
2021/04/16,31,22500400,23384850,18785400,7.45,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,,7.44,510.61,0.00,8.43,7.77,,7.44,7.38,7.39,7.36,7.38,7.39,7.39,7.38,7.39,7.39,,7628800,3952550,2787500,1997050,,7.44,7.31,7.39,7.38,7.39,7.39,7.39,7.39,7.38,7.34
2021/04/16,32,21844900,23282600,18333800,8.44,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,,8.42,510.09,0.00,19.96,14.96,,8.42,8.01,8.00,8.04,8.03,8.04,8.04,7.98,8.04,8.03,,7343750,3864800,2577250,2069200,,8.42,7.95,8.04,8.02,8.03,8.04,8.04,8.04,8.02,8.04
2021/04/16,33,21537950,23929650,18468800,10.22,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,8.44,,10.22,506.92,0.00,15.00,15.16,,10.22,10.15,10.14,10.14,10.14,10.14,10.14,10.14,10.14,8.45,,6968050,3911700,2781900,2333750,,10.22,10.13,10.14,10.15,10.14,10.14,10.14,10.14,10.14,8.45
2021/04/16,34,21044950,24295200,18592600,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,10.51,506.24,0.00,20.00,25.00,,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,6562350,4116800,3085100,2621150,,10.51,10.48,10.51,10.52,10.50,10.51,10.51,10.51,10.51,10.51
2021/04/16,35,21237800,24043550,18820450,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,,10.22,506.82,0.00,14.00,14.00,,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,,6641950,4237350,3068150,2621650,,10.22,10.17,10.22,10.22,10.23,10.22,10.22,10.22,10.22,10.22
2021/04/16,36,21325350,24173050,18879000,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,10.51,506.92,0.00,16.00,15.48,,10.51,10.51,10.51,10.50,10.51,10.51,10.51,10.51,10.51,10.51,,6650650,4211050,3103900,2617400,,10.51,10.45,10.51,10.51,10.49,10.51,10.51,10.51,10.51,10.51
2021/04/16,37,21334800,24170400,18771500,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,10.50,506.57,0.00,12.17,12.10,,10.50,10.51,10.51,10.50,10.50,10.51,10.51,10.51,10.51,10.51,,6807150,4250350,2994400,2508400,,10.50,10.47,10.51,10.51,10.49,10.51,10.51,10.51,10.51,10.49
2021/04/16,38,21546100,24279450,18882250,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,10.51,509.09,0.00,12.18,10.51,,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,6914700,4257900,2919900,2418400,,10.51,10.50,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51
2021/04/16,39,21633250,24053200,18886300,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,,10.22,509.10,0.00,10.51,10.51,,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,,6964750,4230550,2861550,2349550,,10.22,10.19,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22
2021/04/16,40,21741950,23616900,18706850,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,,9.68,509.09,0.00,9.68,9.68,,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,,7133100,4347400,2778050,2378550,,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68
2021/04/16,41,21064150,23115000,18208400,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,,9.96,509.10,0.00,9.96,9.96,,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,,7097350,4255650,2781800,2370100,,9.96,9.96,9.96,9.96,9.94,9.96,9.96,9.96,9.96,9.96
2021/04/16,42,20970450,22883300,18268950,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,,9.12,509.10,0.00,9.42,9.12,,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,,6932350,4259150,2792350,2461300,,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12
2021/04/16,43,20866200,22664900,18113100,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,,8.57,509.09,0.00,8.57,8.57,,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,,6841900,4160050,2931400,2630700,,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57
2021/04/16,44,20749450,22377050,18024300,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,509.10,0.00,7.96,7.96,,7.96,7.95,7.96,7.96,7.96,7.96,7.96,7.99,7.96,7.96,,6698600,4084850,2933450,2610200,,7.96,7.96,7.98,7.96,7.95,7.96,7.96,7.96,7.96,7.96
2021/04/16,45,20575350,22056550,17600050,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,,8.56,508.50,0.00,10.13,8.62,,8.56,8.38,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,,6891100,3937500,2962550,2627350,,8.56,8.57,8.57,8.53,8.57,8.57,8.57,8.56,8.55,8.57
2021/04/16,46,20182600,21631300,17327700,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,7.96,509.10,0.00,8.14,7.96,,7.96,7.89,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,,6729700,3926700,2896950,2560250,,7.96,7.96,7.96,7.95,7.96,7.96,7.96,7.96,7.95,7.96
2021/04/16,47,19667150,21046600,16863650,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,,7.45,509.10,0.00,8.44,7.96,,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,,6412500,3655000,2724250,2391050,,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45
2021/04/16,48,18465150,20010300,16130800,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,,7.40,507.60,0.00,7.98,7.72,,7.40,7.41,7.39,7.39,7.39,7.39,7.39,7.42,7.39,7.39,,5718700,3424700,2139700,1805500,,7.40,7.39,7.39,7.40,7.41,7.39,7.41,7.39,7.39,7.39
2021/04/17,1,16691550,19240400,15392500,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,6.91,,7.36,503.29,0.00,7.37,7.36,,7.36,7.35,7.36,7.36,7.35,7.36,7.36,7.41,7.36,6.88,,4453450,3219850,1947800,1455050,,7.36,7.36,7.37,7.34,7.39,7.36,7.36,7.36,7.36,6.91
2021/04/17,2,17755500,20237400,16176950,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,6.91,,7.36,503.44,0.00,7.36,7.36,,7.36,7.37,7.37,7.37,7.35,7.36,7.36,7.36,7.36,6.93,,4882700,3338700,2986600,2385250,,7.36,7.36,7.38,7.35,7.39,7.36,7.36,7.36,7.36,6.91
2021/04/17,3,18131600,20271350,16371400,7.36,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,,7.36,504.29,0.00,7.36,7.36,,7.36,6.92,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.93,,5072950,3342450,3235250,2570450,,7.36,6.91,6.93,6.91,6.91,6.91,6.91,6.91,6.91,6.92
